id,category,english,korean
exp_057,Dining & Cafe,"Let me know if you need anything else.","다른 필요한 게 있으면 말씀해주세요."
exp_058,Feelings & Mindset,"No wonder your videos are amazing.","어쩐지 네 영상이 엄청 끝내주더라."
exp_059,Daily & Casual,"What's it like being a parent?","부모가 된다는 건 어떤 기분이야?"
exp_060,Daily & Casual,"What do you want for Christmas?","크리스마스 선물로 뭐 받고 싶어?"
exp_061,Daily & Casual,"Same here / Me too.","나도 그래, 나도 똑같아."
exp_062,Daily & Casual,"Please go see a doctor.","제발 의사 좀 만나러 가봐."
exp_063,Feelings & Mindset,"This shouldn't have happened.","이런 건 일어나면 안 됐는데."
exp_064,Feelings & Mindset,"We could have been better parents.","더 나을 수도 있었는데 (기대만큼은 아니었어)."
exp_065,Daily & Casual,"How do you like that?","그거 어때? 마음에 들어?"
exp_066,Work & Business,"I'll take care of it.","그거 내가 해 줄게, 내가 처리해 줄게."
exp_067,Feelings & Mindset,"And I can't wait to marry you.","그리고 너랑 결혼하는 게 너무 기다려져."
exp_068,Idioms & Slang,"The best is yet to come.","최고의 순간은 아직 오지 않았다."
exp_069,Travel & Commute,"Boarding pass is here.","탑승권이 도착했습니다."
exp_070,Idioms & Slang,"Bear with me.","잠시만 참아줘, 조금만 기다려 줘."
exp_071,Daily & Casual,"Let's catch up for a second.","잠깐 근황 좀 얘기하자."
exp_072,Feelings & Mindset,"I'm wiped out.","나 완전 지쳤어."
exp_073,Feelings & Mindset,"Don't get worked up over nothing.","아무것도 아닌 일에 흥분하지 마."
exp_074,Idioms & Slang,"I'm on a roll today.","오늘은 일이 술술 풀려."
exp_075,Daily & Casual,"Are you a doctor by any chance?","혹시 당신 의사신가요?"
exp_076,Work & Business,"I'm just trying to get back to work.","나 그냥 다시 일하려는 거야."
exp_077,Work & Business,"That'll be all for today.","오늘은 여기까지다."
exp_078,Feelings & Mindset,"Best of luck / I wish you luck.","행운을 빌게."
exp_079,Daily & Casual,"Will you be using your insurance?","너 보험 사용할 거야?"
exp_080,Daily & Casual,"You made it just in time.","정말 딱 맞게 왔네."
exp_081,Daily & Casual,"The toilet is backed up / clogged.","변기가 막혔어."
exp_082,Daily & Casual,"I didn't catch your name.","이름을 잘 못 들었어요."
exp_083,Dining & Cafe,"What can I get for you?","뭐 가져다 드릴까요?"
exp_084,Daily & Casual,"How can I help you?","제가 뭘 도와드릴까요?"
exp_085,Dining & Cafe,"Why don't you try a bite?","한입 먹어보는 게 어때?"
exp_086,Travel & Commute,"Pull over to the left.","저기 왼쪽에 차 대."
exp_087,Work & Business,"I don't think this is the moment to hash out the details.","지금은 세부 사항을 따질 때가 아닌 것 같아."
exp_088,Work & Business,"I gotta jump on a call.","전화 받아야 해."
exp_089,Work & Business,"We should put it to use.","우린 그걸 활용해야 해."
exp_090,Daily & Casual,"Can you turn on the heater?","히터 좀 켜줄 수 있어?"
exp_091,Work & Business,"Is this a good time?","지금 시간 괜찮으세요?"
exp_092,Work & Business,"Did I catch you at a bad time?","혹시 내가 안 좋은 때에 연락한 건가요?"
exp_093,Idioms & Slang,"Easy does it.","조심해, 서두르지 마."
exp_094,Daily & Casual,"They reduce weight enough to allow for flight.","그들은 비행이 가능할 정도로 충분히 무게를 줄인다."
exp_095,Daily & Casual,"What brings you here?","너는 무슨 일로 여기 온 거야?"
exp_096,Work & Business,"I'll pencil you in.","너를 일정에 임시로 잡아둘게."
exp_097,Feelings & Mindset,"Do you have any idea how humiliating that is?","그게 얼마나 굴욕적인지 네가 알기나 해?"
exp_098,Daily & Casual,"She's always been prone to exaggeration.","그녀는 늘 과장하는 경향이 있어왔다."
exp_099,Daily & Casual,"What do you want to do now?","지금 뭐 하고 싶어?"
exp_100,Dining & Cafe,"What do you feel like eating?","뭐 먹고 싶어?"
exp_101,Feelings & Mindset,"I didn't mean to hurt your feelings.","내 감정을 상하게 하려던 건 아니었어."
exp_102,Feelings & Mindset,"I want us to be together.","나는 우리가 함께 있기를 원해."
exp_103,Daily & Casual,"I'm sorry, could you take off your glasses?","미안하지만 안경을 벗어 주시겠어요?"
exp_104,Daily & Casual,"What are you into these days?","요즘 뭐에 관심 있어?"
exp_105,Idioms & Slang,"That's not my thing.","그건 내 취향이 아니야."
exp_106,Idioms & Slang,"You won't get away with this.","너는 이 일을 하고도 무사히 넘어가진 못할 거야."
exp_107,Feelings & Mindset,"You can do anything if you put your mind to it.","마음만 먹는다면 넌 무엇이든 할 수 있어."
exp_108,Daily & Casual,"What's keeping you?","뭐 때문에 이렇게 오래 걸려?"
exp_109,Daily & Casual,"What's keeping you up?","뭐 때문에 잠 못 자고 있는 거야?"
exp_110,Daily & Casual,"You're not gonna believe this.","믿기 힘들 거야."
exp_111,Idioms & Slang,"Let me get this straight.","잠깐만, 내가 제대로 이해한 게 맞는지 볼게."
exp_112,Feelings & Mindset,"Are you sure you don't want to be together?","확실해? 같이 있고 싶지 않은 게?"
exp_113,Daily & Casual,"Does this come in a set?","이거 세트로 있나요?"
exp_114,Daily & Casual,"Do you have this in a small?","이거 스몰 사이즈 있어요?"
exp_115,Daily & Casual,"Do you have this in a medium?","이거 미디엄 사이즈 있어요?"
exp_116,Daily & Casual,"Can I try this on?","입어봐도 될까요?"
exp_117,Feelings & Mindset,"I’m not feeling it. I'm not in the mood right now.","지금은 그럴 기분이 아니야."
exp_118,Dining & Cafe,"Do you want to grab a bite?","뭐 좀 먹으러 갈래?"
exp_119,Idioms & Slang,"That's totally my thing / right up my alley.","그거 완전 내 취향이야, 내 스타일이야."
exp_120,Idioms & Slang,"I'm in a bind.","내가 어려움에 처했어 (곤란해)."
exp_121,Idioms & Slang,"You have a way with people.","너는 사람을 잘 다루는 재능이 있어."
exp_122,Idioms & Slang,"He used to rave about it all the time.","그는 예전엔 그 얘기만 달고 살았어, 항상 극찬했었어."
exp_123,Idioms & Slang,"That hit the spot.","딱 좋았어, 정말 만족스러웠어."
exp_124,Daily & Casual,"Take a seat and rest / Take a load off.","앉아서 좀 쉬어요."
exp_125,Daily & Casual,"I get that a lot.","그런 말 많이 들어요."
exp_126,Idioms & Slang,"I don't follow / I'm not following you.","무슨 말인지 잘 모르겠어, 이해가 안 돼."
exp_127,Idioms & Slang,"It was a steal.","엄청 싸게 샀어 (완전 득템이야)."
exp_128,Idioms & Slang,"It's gonna rub off on you.","너도 그것에 물들게 될 거야 (전염될 거야)."
exp_129,Work & Business,"You have to go along with it / abide by that.","그거 따라야 해."
exp_130,Work & Business,"You shouldn't have agreed to that.","그거에 동의하면 안 됐었는데."
exp_131,Idioms & Slang,"It was uncomfortable, to say the least.","최소한으로 말해도 불편했다."
exp_132,Work & Business,"Take it back / Call it off / Cancel it.","취소해."
exp_133,Daily & Casual,"We go way back.","우린 오래된 사이야."
exp_134,Idioms & Slang,"We'll get by.","우린 버텨낼 수 있어, 그럭저럭 살 수 있어."
exp_135,Idioms & Slang,"He didn't so much as say goodbye.","그는 작별 인사조차 하지 않았다."
exp_136,Idioms & Slang,"If you so much as reach for that name...","그 이름을 입에 올리기만 해도 가만 안 둬."
exp_137,Feelings & Mindset,"It'll pass. It'll go by in a flash.","금방 지나갈 거야."
exp_138,Daily & Casual,"That can't be right.","이건 뭔가 잘못됐어."
exp_139,Feelings & Mindset,"I can't help but feel like we missed something.","뭔가 우리 방금 놓친 것 같다는 느낌이 자꾸 들어."
exp_140,Idioms & Slang,"It doesn't sit well with me.","그건 내 마음에 걸려 (영 불편해)."
exp_141,Feelings & Mindset,"I would relish the moment.","난 그 순간을 마음껏 즐길 거야."
exp_142,Feelings & Mindset,"I'm thrilled to meet you.","당신을 만나게 되어 정말 기뻐요."
exp_143,Feelings & Mindset,"I'm thrilled to hear the news.","그 소식 듣게 돼서 정말 기뻐요."
exp_144,Daily & Casual,"It's a matter of perspective.","그건 관점 차이야."
exp_145,Daily & Casual,"It's a matter of trust.","그건 신뢰의 문제야."
exp_146,Daily & Casual,"It's in your best interest.","그게 너한테 가장 이로운 일이야."
exp_147,Daily & Casual,"I only have your best interest at heart.","난 진심으로 널 위한 마음으로 행동하고 있어."
exp_148,Daily & Casual,"He's a good person at heart.","그는 마음속으론 좋은 사람이야."
exp_149,Work & Business,"His job has to do with cloud computing.","그의 일은 클라우드 컴퓨팅과 관련이 있다."
exp_150,Daily & Casual,"Does it have to do with that girl?","그 여자애랑 관련 있는 거야?"
exp_151,Feelings & Mindset,"I relate to young people.","난 젊은 사람들에게 공감돼."
exp_152,Idioms & Slang,"You're missing out on all the fun.","너 재밌는 거 다 놓치고 있어."
exp_153,Work & Business,"She's going to lay out the plan for you.","그녀가 여러분을 위해 계획을 설명해 줄 거야."
exp_154,Work & Business,"Jessica won't lay out money for payroll.","제시카는 인건비로 돈을 쓰려고 하지 않을 거야."
exp_155,Feelings & Mindset,"I get the feeling you recently lost someone.","최근에 누군가를 잃은 것 같다는 느낌이 들어."
exp_156,Idioms & Slang,"You have a good grasp of reality.","너는 현실을 제대로 인식하고 있어."
exp_157,Daily & Casual,"I still have a sense of time.","나 아직 시간 감각은 있어."
exp_158,Idioms & Slang,"I got the hang of it.","이제 감 잡았어."
exp_159,Idioms & Slang,"I never got the hang of it.","난 그거 끝내 감을 못 잡았어."
exp_160,Daily & Casual,"There you go again / Here we go again.","또 시작이네, 또 그러네 너."
exp_161,Feelings & Mindset,"It happens to the best of us.","그런 일은 누구에게나 일어날 수 있어."
exp_162,Daily & Casual,"Let's talk about you for a change.","이번엔 너 얘기 좀 해보자 (기분 전환 삼아)."
exp_163,Feelings & Mindset,"We can get through this.","우린 이걸 이겨낼 수 있어."
exp_164,Idioms & Slang,"Put it to bed.","그걸 마무리하다, 끝내다, 종결짓다."
exp_165,Daily & Casual,"We lost friends along the way.","가는 길에 친구들을 잃었어."
exp_166,Work & Business,"We can't drop the ball now.","지금 실수하면 안 돼."
exp_167,Work & Business,"Somehow I feel like I'm gonna drop the ball.","왠지 나 이번에 실수할 것 같아."
exp_168,Daily & Casual,"It's nice to finally put a face to the name.","드디어 이름만 알던 사람을 직접 뵙게 되어 정말 반갑습니다."
exp_169,Idioms & Slang,"I had to pull some strings.","빽 좀 써야만 했어 (인맥을 써야 했어)."
exp_170,Travel & Commute,"Can you take me to the airport?","공항까지 데려다줄 수 있어요?"
exp_171,Daily & Casual,"I'll let you go, call me tomorrow.","이만 끊자, 내일 전화해."
exp_172,Daily & Casual,"Sometimes things just slip your mind.","가끔은 그냥 깜빡할 수도 있잖아."
exp_173,Idioms & Slang,"His reaction will speak volumes.","그의 반응이 모든 걸 말해 줄 거야."
exp_174,Daily & Casual,"Other than that, it's fine.","그거 말고는 다 괜찮아."
exp_175,Work & Business,"Let's stick to the plan.","계획대로 하자, 계획을 지키자."
exp_176,Daily & Casual,"Do you think I came across as difficult?","거기서 내가 까다롭게 보였을까?"
exp_177,Idioms & Slang,"What's there to worry about?","걱정할 게 뭐가 있어?"
exp_178,Idioms & Slang,"What's there not to like?","안 좋아할 이유가 뭐가 있어?"
exp_179,Daily & Casual,"It takes me back to dancing and romancing.","그때 춤추며 사랑하던 시절이 생각나."
exp_180,Daily & Casual,"You might want to stick around.","계속 머무르는 게 좋을 수도 있어."
exp_181,Daily & Casual,"That's a given.","그건 당연한 거야."
exp_182,Feelings & Mindset,"It's hard for me to believe that.","나한테는 그걸 믿는 게 너무 힘들다."
exp_183,Idioms & Slang,"You really go all out with the decorations every year.","넌 해마다 장식에 정말 혼신을 다하더라."
exp_184,Feelings & Mindset,"I'm tempted to drop out of college.","대학교를 그만두고 싶은 충동이 자꾸 들어."
exp_185,Idioms & Slang,"Don't let him get in your head.","그 사람한테 휘둘리지 마 (멘탈 흔들리지 마)."
exp_186,Feelings & Mindset,"Shake it off.","빨리 떨쳐내고 다시 일어나."
exp_187,Idioms & Slang,"Break the bank.","큰돈을 쓰다, 지갑 거덜 내다."
exp_188,Idioms & Slang,"Peg, don't play up to me.","페그, 나한테 아부하지 마."
exp_189,Idioms & Slang,"It was nothing less than a disaster.","그야말로 재앙이나 다름없었다."
exp_190,Daily & Casual,"If you need anything at all.","어떤 것이든 필요하다면 말씀하세요."
exp_191,Feelings & Mindset,"I find it hard to believe.","나는 믿기 힘들다, 믿어지지 않는다."
exp_192,Idioms & Slang,"The math is in your favor.","계산상으로는 네가 유리해."
exp_193,Work & Business,"The acting did not pan out.","연기가 원하는 대로 잘 풀리지 않았다."
exp_194,Idioms & Slang,"Your game is not up to par with my game.","네 실력은 내 실력에 못 미쳐."
exp_195,Feelings & Mindset,"Don't freak out.","당황하지 마, 놀라지 마."
exp_196,Daily & Casual,"I'm in the middle of something.","지금 뭔가 하던 중이에요, 지금 좀 바빠요."
exp_197,Feelings & Mindset,"I can't thank you enough.","정말 뭐라고 말로 다 못할 만큼 고마워요."
exp_198,Daily & Casual,"I owe you big time.","정말 크게 신세 졌어."
exp_199,Daily & Casual,"I owe you an apology.","내가 너한테 사과해야 해."
exp_200,Idioms & Slang,"Hit the road.","자, 이제 출발하자."
exp_201,Idioms & Slang,"Hit the books.","열공하다, 공부하다."
exp_202,Daily & Casual,"Not too shabby.","그렇게 나쁘진 않아, 생각보다 괜찮아."
exp_203,Dining & Cafe,"Is this seat taken?","여기 자리 비었나요?"
exp_204,Work & Business,"We'll figure it out.","우리가 어떻게든 해결책을 찾아낼게."
exp_205,Feelings & Mindset,"You matter to me.","넌 소중한 사람이야."
exp_206,Idioms & Slang,"He goes for a run every morning, rain or shine.","그는 비가 오든 눈이 오든 매일 아침 달리기를 한다."
exp_207,Work & Business,"You need to be able to work well under pressure.","압박감 속에서도 일을 잘 해낼 수 있어야 해."
exp_208,Daily & Casual,"I'd rather stay home tonight.","차라리 오늘 밤엔 집에 있는 게 낫겠어."
exp_209,Idioms & Slang,"Since nobody else is applying, you might as well try.","지원자가 아무도 없으니 그냥 한번 해보는 게 낫겠다."
exp_210,Work & Business,"I need to whip up a simple script to automate this.","이걸 자동화할 간단한 스크립트를 뚝딱 짜야겠어."
exp_211,Work & Business,"The new feature works well. That being said, we still need unit tests.","새 기능은 잘 돌아가. 그렇긴 하지만 단위 테스트는 여전히 필요해."
exp_212,Work & Business,"It runs like clockwork.","시계처럼 아주 규칙적으로 문제없이 진행된다."
exp_213,Feelings & Mindset,"I feel like I'm coming down with something.","감기 기운이 있는 것 같아."
exp_214,Idioms & Slang,"That's totally beside the point.","그건 중요한 게 아니야 (본론에서 벗어났어)."
exp_215,Daily & Casual,"There’s something about late-night coding that helps me focus.","심야 코딩은 왠지 모르게 집중을 더 잘 되게 해주는 무언가가 있어."
exp_216,Travel & Commute,"I'd like to check in. I have a reservation under Kim.","체크인 부탁드립니다. 김 이름으로 예약되어 있습니다."
exp_217,Idioms & Slang,"To be honest, I don't know the first thing about cooking.","솔직히 말해서 요리에 대해선 쥐뿔도 몰라."
exp_218,Idioms & Slang,"Let's get one thing straight.","한 가지는 확실히 하고 넘어가자."
exp_219,Daily & Casual,"Could use a cup of coffee right now.","지금 커피 한 잔 있으면 딱 좋겠다."
exp_220,Work & Business,"How's it coming along?","진행 중인 일 어떻게 돼가고 있어?"
exp_221,Work & Business,"Consider it done.","걱정 마, 이미 처리됐다고 생각해."
exp_222,Daily & Casual,"Could you gift-wrap this for me?","선물 포장해 주실 수 있나요?"
exp_223,Feelings & Mindset,"This looks promising.","이거 꽤 유망해 보여 (잘될 것 같아)."
exp_224,Daily & Casual,"Make yourself at home.","집처럼 편하게 계세요."
exp_225,Feelings & Mindset,"His question caught me off guard.","그 사람 질문에 허를 찔려 당황했어."
exp_226,Travel & Commute,"I don’t want to be stuck in traffic.","교통 체증에 갇히고 싶지 않아."
exp_227,Daily & Casual,"It keeps ringing.","신호는 계속 가는데 안 받아."
exp_228,Idioms & Slang,"Before you know it.","눈 깜짝할 사이에, 금방."
exp_229,Dining & Cafe,"What's good here?","여기 뭐 잘해요? (추천 메뉴 질문)"
exp_230,Dining & Cafe,"Make it two, please.","같은 걸로 두 개 주세요."
exp_231,Dining & Cafe,"Does it come with a drink?","음료도 같이 나오나요?"
exp_232,Dining & Cafe,"How many in your party?","일행이 몇 분이신가요?"
exp_233,Feelings & Mindset,"I feel like a brand new person.","완전 딴 사람 된 것 같아, 개운해."
exp_234,Feelings & Mindset,"I was totally freaked out.","완전 멘붕이었어, 엄청 놀랐어."
exp_235,Work & Business,"I'm swamped.","일이 너무 많아 죽겠어 (늪에 빠진 것처럼)."
exp_236,Work & Business,"I'm so behind on my work.","일이 너무 많이 밀렸어, 뒤처졌어."
exp_237,Work & Business,"He's actually gone for the day.","그분은 오늘 완전히 퇴근하셨습니다."
exp_238,Work & Business,"It's still up in the air.","아직 미정이야 (공중에 떠 있어)."
exp_239,Feelings & Mindset,"How can I make it up to you?","내가 어떻게 보답하지? (실수 만회)"
exp_240,Daily & Casual,"It totally slipped my mind.","완전 깜빡했어."
exp_241,Idioms & Slang,"Don't make a big deal out of it.","사소한 일에 호들갑 떨지 마."
exp_242,Daily & Casual,"Don't even bring up that story.","그 이야기는 꺼내지도 마."
exp_243,Daily & Casual,"It's harder than it looks.","보기보다 어려워."
exp_244,Daily & Casual,"I hate to say this, but I gotta get going.","아쉽지만 먼저 일어날게요."
exp_245,Daily & Casual,"You really didn't have to.","뭐 이런 걸 다, 정말 안 그러셔도 되는데."
exp_246,Daily & Casual,"You should have at least brought it up.","말이라도 꺼냈어야지."
